Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Number of Cosponsors,Committees,Latest Action,Latest Action Date,Cosponsors,Subject,Related Bills,Latest Summary
H.R. 8982,https://www.congress.gov/bill/117th-congress/house-bill/8982,117th Congress (2021-2022),Bulk Infant Formula to Retail Shelves Act,"DelBene, Suzan K. [Rep.-D-WA-1]",09/26/2022,30,House - Ways and Means,Became Public Law No: 117-192.,10/10/2022,"Moore, Gwen [Rep.-D-WI-4];Ferguson, A. Drew, IV [Rep.-R-GA-3];Casten, Sean [Rep.-D-IL-6];Trone, David J. [Rep.-D-MD-6];Pappas, Chris [Rep.-D-NH-1];Carbajal, Salud O. [Rep.-D-CA-24];Wenstrup, Brad R. [Rep.-R-OH-2];Peters, Scott H. [Rep.-D-CA-52];Murphy, Stephanie N. [Rep.-D-FL-7];Axne, Cynthia [Rep.-D-IA-3];Williams, Nikema [Rep.-D-GA-5];Schneider, Bradley Scott [Rep.-D-IL-10];Larsen, Rick [Rep.-D-WA-2];Gottheimer, Josh [Rep.-D-NJ-5];Suozzi, Thomas R. [Rep.-D-NY-3];Blumenauer, Earl [Rep.-D-OR-3];Larson, John B. [Rep.-D-CT-1];Smith, Adrian [Rep.-R-NE-3];Kildee, Daniel T. [Rep.-D-MI-5];Higgins, Brian [Rep.-D-NY-26];Panetta, Jimmy [Rep.-D-CA-20];Chu, Judy [Rep.-D-CA-27];Sewell, Terri A. [Rep.-D-AL-7];Kilmer, Derek [Rep.-D-WA-6];Plaskett, Stacey E. [Del.-D-VI-At Large];Craig, Angie [Rep.-D-MN-2];Gomez, Jimmy [Rep.-D-CA-34];Thompson, Mike [Rep.-D-CA-5];Costa, Jim [Rep.-D-CA-16];O'Halleran, Tom [Rep.-D-AZ-1]",Foreign Trade and International Finance,," <p><strong>Bulk Infant Formula to Retail Shelves Act</strong></p> <p>This act provides through December 31, 2022, duty-free treatment to certain infant formula base powder used in the manufacturing of infant formula in the United States, subject to quantity limitations. <em>Infant formula base powder</em> means a dry mixture of protein, fat, and carbohydrates that requires only the addition of vitamins and minerals in order to meet the definition of the term <em>infant formula</em> in the Federal Food, Drug, and Cosmetic Act.</p> <p>During this time period, articles of infant formula base powder shall not be subject to any additional safeguard duties that may be imposed under subchapter IV of chapter 99 of the Harmonized Tariff Schedule.</p>"
H.R. 8656,https://www.congress.gov/bill/117th-congress/house-bill/8656,117th Congress (2021-2022),"To designate the clinic of the Department of Veterans Affairs in Mishawaka, Indiana, as the ""Jackie Walorski VA Clinic"".","Banks, Jim [Rep.-R-IN-3]",08/05/2022,122,House - Veterans' Affairs,Became Public Law No: 117-179.,09/30/2022,"Scalise, Steve [Rep.-R-LA-1];McCarthy, Kevin [Rep.-R-CA-23];Spartz, Victoria [Rep.-R-IN-5];Spartz, Victoria [Rep.-R-IN-5];Mrvan, Frank J. [Rep.-D-IN-1];Hollingsworth, Trey [Rep.-R-IN-9];Baird, James R. [Rep.-R-IN-4];Pence, Greg [Rep.-R-IN-6];Carson, Andre [Rep.-D-IN-7];Bucshon, Larry [Rep.-R-IN-8];Stefanik, Elise M. [Rep.-R-NY-21];Wagner, Ann [Rep.-R-MO-2];McCaul, Michael T. [Rep.-R-TX-10];Garcia, Mike [Rep.-R-CA-25];Ellzey, Jake [Rep.-R-TX-6];Joyce, John [Rep.-R-PA-13];Rouzer, David [Rep.-R-NC-7];LaTurner, Jake [Rep.-R-KS-2];Huizenga, Bill [Rep.-R-MI-2];Rose, John W. [Rep.-R-TN-6];Aderholt, Robert B. [Rep.-R-AL-4];Hill, J. French [Rep.-R-AR-2];Ferguson, A. Drew, IV [Rep.-R-GA-3];Clyde, Andrew S. [Rep.-R-GA-9];Lucas, Frank D. [Rep.-R-OK-3];Jackson, Ronny [Rep.-R-TX-13];Case, Ed [Rep.-D-HI-1];Keller, Fred [Rep.-R-PA-12];Brady, Kevin [Rep.-R-TX-8];Wenstrup, Brad R. [Rep.-R-OH-2];McGovern, James P. [Rep.-D-MA-2];Radewagen, Aumua Amata Coleman [Del.-R-AS-At Large];Jordan, Jim [Rep.-R-OH-4];Feenstra, Randy [Rep.-R-IA-4];Fischbach, Michelle [Rep.-R-MN-7];Babin, Brian [Rep.-R-TX-36];Katko, John [Rep.-R-NY-24];Scott, Austin [Rep.-R-GA-8];Guest, Michael [Rep.-R-MS-3];Cline, Ben [Rep.-R-VA-6];Westerman, Bruce [Rep.-R-AR-4];Johnson, Dusty [Rep.-R-SD-At Large];Cline, Ben [Rep.-R-VA-6];Westerman, Bruce [Rep.-R-AR-4];Johnson, Dusty [Rep.-R-SD-At Large];Rutherford, John H. [Rep.-R-FL-4];Gonzales, Tony [Rep.-R-TX-23];Ross, Deborah K. [Rep.-D-NC-2];Smucker, Lloyd [Rep.-R-PA-11];Armstrong, Kelly [Rep.-R-ND-At Large];Waltz, Michael [Rep.-R-FL-6];Obernolte, Jay [Rep.-R-CA-8];Wittman, Robert J. [Rep.-R-VA-1];Fitzpatrick, Brian K. [Rep.-R-PA-1];Murphy, Gregory [Rep.-R-NC-3];Bergman, Jack [Rep.-R-MI-1];Hartzler, Vicky [Rep.-R-MO-4];Pfluger, August [Rep.-R-TX-11];Weber, Randy K., Sr. [Rep.-R-TX-14];Miller, Carol D. [Rep.-R-WV-3];Chabot, Steve [Rep.-R-OH-1];Timmons, William R. IV [Rep.-R-SC-4];Hudson, Richard [Rep.-R-NC-8];Cammack, Kat [Rep.-R-FL-3];Estes, Ron [Rep.-R-KS-4];Cawthorn, Madison [Rep.-R-NC-11];Balderson, Troy [Rep.-R-OH-12];Hinson, Ashley [Rep.-R-IA-1];Duncan, Jeff [Rep.-R-SC-3];Kelly, Mike [Rep.-R-PA-16];Reschenthaler, Guy [Rep.-R-PA-14];Issa, Darrell E. [Rep.-R-CA-50];Smith, Christopher H. [Rep.-R-NJ-4];Crawford, Eric A. ""Rick"" [Rep.-R-AR-1];Gohmert, Louie [Rep.-R-TX-1];Gimenez, Carlos A. [Rep.-R-FL-26];Herrell, Yvette [Rep.-R-NM-2];Rice, Tom [Rep.-R-SC-7];Graves, Garret [Rep.-R-LA-6];Williams, Roger [Rep.-R-TX-25];Smith, Jason [Rep.-R-MO-8];Foxx, Virginia [Rep.-R-NC-5];LaHood, Darin [Rep.-R-IL-18];Budd, Ted [Rep.-R-NC-13];Burgess, Michael C. [Rep.-R-TX-26];Latta, Robert E. [Rep.-R-OH-5];Guthrie, Brett [Rep.-R-KY-2];Gottheimer, Josh [Rep.-D-NJ-5];Valadao, David G. [Rep.-R-CA-21];Arrington, Jodey C. [Rep.-R-TX-19];Emmer, Tom [Rep.-R-MN-6];Johnson, Bill [Rep.-R-OH-6];Moolenaar, John R. [Rep.-R-MI-4];Steel, Michelle [Rep.-R-CA-48];McClintock, Tom [Rep.-R-CA-4];Norman, Ralph [Rep.-R-SC-5];LaMalfa, Doug [Rep.-R-CA-1];Moore, Blake D. [Rep.-R-UT-1];Malliotakis, Nicole [Rep.-R-NY-11];Steube, W. Gregory [Rep.-R-FL-17];Davis, Rodney [Rep.-R-IL-13];Kustoff, David [Rep.-R-TN-8];Crenshaw, Dan [Rep.-R-TX-2];Miller-Meeks, Mariannette [Rep.-R-IA-2];Garbarino, Andrew R. [Rep.-R-NY-2];Carter, Earl L. ""Buddy"" [Rep.-R-GA-1];Meuser, Daniel [Rep.-R-PA-9];Thompson, Glenn [Rep.-R-PA-15];Miller, Mary E. [Rep.-R-IL-15];Johnson, Mike [Rep.-R-LA-4];Joyce, David P. [Rep.-R-OH-14];Conway, Connie [Rep.-R-CA-22];Cheney, Liz [Rep.-R-WY-At Large];Franklin, C. Scott [Rep.-R-FL-15];Bentz, Cliff [Rep.-R-OR-2];Amodei, Mark E. [Rep.-R-NV-2];Newhouse, Dan [Rep.-R-WA-4];Wilson, Joe [Rep.-R-SC-2];Lesko, Debbie [Rep.-R-AZ-8];Walberg, Tim [Rep.-R-MI-7];Buchanan, Vern [Rep.-R-FL-16];Salazar, Maria Elvira [Rep.-R-FL-27];McClain, Lisa C. [Rep.-R-MI-10];Smith, Adrian [Rep.-R-NE-3];Hern, Kevin [Rep.-R-OK-1];Barr, Andy [Rep.-R-KY-6]","Armed Forces and National Security;Congressional tributes;Government buildings, facilities, and property;Veterans' medical care;Department of Veterans Affairs;Health facilities and institutions;Indiana",S.4797," <p>This act designates the clinic of the Department of Veterans Affairs in Mishawaka, Indiana, as the Jackie Walorski VA Clinic.</p>"
H.R. 8351,https://www.congress.gov/bill/117th-congress/house-bill/8351,117th Congress (2021-2022),Formula Act,"Blumenauer, Earl [Rep.-D-OR-3]",07/13/2022,28,House - Ways and Means,Became Public Law No: 117-160.,07/21/2022,"Chu, Judy [Rep.-D-CA-27];Panetta, Jimmy [Rep.-D-CA-20];Larson, John B. [Rep.-D-CT-1];Sewell, Terri A. [Rep.-D-AL-7];Smith, Adrian [Rep.-R-NE-3];DelBene, Suzan K. [Rep.-D-WA-1];Kildee, Daniel T. [Rep.-D-MI-5];Rice, Tom [Rep.-R-SC-7];Davis, Danny K. [Rep.-D-IL-7];Miller, Carol D. [Rep.-R-WV-3];Moore, Gwen [Rep.-D-WI-4];Wenstrup, Brad R. [Rep.-R-OH-2];Smucker, Lloyd [Rep.-R-PA-11];Thompson, Mike [Rep.-D-CA-5];Kustoff, David [Rep.-R-TN-8];Murphy, Gregory [Rep.-R-NC-3];Smith, Jason [Rep.-R-MO-8];Higgins, Brian [Rep.-D-NY-26];Beyer, Donald S., Jr. [Rep.-D-VA-8];Stewart, Chris [Rep.-R-UT-2];Evans, Dwight [Rep.-D-PA-3];Schneider, Bradley Scott [Rep.-D-IL-10];Sánchez, Linda T. [Rep.-D-CA-38];Kelly, Mike [Rep.-R-PA-16];Buchanan, Vern [Rep.-R-FL-16];Estes, Ron [Rep.-R-KS-4];Williams, Nikema [Rep.-D-GA-5];Schweikert, David [Rep.-R-AZ-6]",Foreign Trade and International Finance;Customs enforcement;Tariffs;User charges and fees,H.R.8174," <p><strong>Formula Act</strong></p> <p>This bill provides through December 31, 2022, duty-free treatment to infant formula.</p> <p>During this time period, articles of infant formula shall not be subject to (1) any additional safeguard duties that may be imposed under subchapter IV of chapter 99 of the Harmonized Tariff Schedule; or (2) any other import quotas, tariff-rate quotas, additional duties, or any other duties, fees, exactions, or charges that otherwise would apply to such articles.</p> <p>Importers shall provide the applicable and anticipated tariff classifications for articles of infant formula on applicable customs entry documents.</p>"
H.R. 7846,https://www.congress.gov/bill/117th-congress/house-bill/7846,117th Congress (2021-2022),Veterans' Compensation Cost-of-Living Adjustment Act of 2022,"Luria, Elaine G. [Rep.-D-VA-2]",05/19/2022,4,House - Veterans' Affairs,Became Public Law No: 117-191.,10/10/2022,"Nehls, Troy E. [Rep.-R-TX-22];Radewagen, Aumua Amata Coleman [Del.-R-AS-At Large];Dean, Madeleine [Rep.-D-PA-4];Manning, Kathy E. [Rep.-D-NC-6]",Armed Forces and National Security;Veterans' pensions and compensation;Administrative law and regulatory procedures;Department of Veterans Affairs;Disability assistance;Inflation and prices,H.R.3909;S.189;S.4223;H.Res.1339," <p><strong>Veterans' Compensation Cost-of-Living Adjustment Act of 2022</strong></p> <p>This act requires the Department of Veterans Affairs (VA) to increase the amounts payable for wartime disability compensation, additional compensation for dependents, the clothing allowance for certain disabled veterans, and dependency and indemnity compensation for surviving spouses and children. Specifically, the VA must increase the amounts by the same percentage as the cost-of-living increase in benefits for Social Security recipients that is effective on December 1, 2022. The act requires the VA to publish the amounts payable, as increased, in the Federal Register.</p> <p>The VA is authorized to make a similar adjustment to the rates of disability compensation payable to persons who have not received compensation for service-connected disability or death.</p>"
H.R. 7791,https://www.congress.gov/bill/117th-congress/house-bill/7791,117th Congress (2021-2022),Access to Baby Formula Act of 2022,"Hayes, Jahana [Rep.-D-CT-5]",05/17/2022,129,House - Education and Labor,Became Public Law No: 117-129.,05/21/2022,"Carter, Troy [Rep.-D-LA-2];Steel, Michelle [Rep.-R-CA-48];Scott, Robert C. ""Bobby"" [Rep.-D-VA-3];Wilson, Frederica S. [Rep.-D-FL-24];Wild, Susan [Rep.-D-PA-7];Williams, Nikema [Rep.-D-GA-5];Castro, Joaquin [Rep.-D-TX-20];Scanlon, Mary Gay [Rep.-D-PA-5];Clark, Katherine M. [Rep.-D-MA-5];Correa, J. Luis [Rep.-D-CA-46];Jacobs, Sara [Rep.-D-CA-53];Dingell, Debbie [Rep.-D-MI-12];Takano, Mark [Rep.-D-CA-41];Barragan, Nanette Diaz [Rep.-D-CA-44];McGovern, James P. [Rep.-D-MA-2];Jayapal, Pramila [Rep.-D-WA-7];Pressley, Ayanna [Rep.-D-MA-7];Leger Fernandez, Teresa [Rep.-D-NM-3];Underwood, Lauren [Rep.-D-IL-14];Courtney, Joe [Rep.-D-CT-2];Gallego, Ruben [Rep.-D-AZ-7];Swalwell, Eric [Rep.-D-CA-15];Meng, Grace [Rep.-D-NY-6];Horsford, Steven [Rep.-D-NV-4];Kim, Andy [Rep.-D-NJ-3];Lawrence, Brenda L. [Rep.-D-MI-14];Carson, Andre [Rep.-D-IN-7];Raskin, Jamie [Rep.-D-MD-8];Maloney, Carolyn B. [Rep.-D-NY-12];Meeks, Gregory W. [Rep.-D-NY-5];Watson Coleman, Bonnie [Rep.-D-NJ-12];Neal, Richard E. [Rep.-D-MA-1];Eshoo, Anna G. [Rep.-D-CA-18];Cleaver, Emanuel [Rep.-D-MO-5];Pocan, Mark [Rep.-D-WI-2];Perlmutter, Ed [Rep.-D-CO-7];McCollum, Betty [Rep.-D-MN-4];Neguse, Joe [Rep.-D-CO-2];Frankel, Lois [Rep.-D-FL-21];Clyburn, James E. [Rep.-D-SC-6];Lieu, Ted [Rep.-D-CA-33];Frankel, Lois [Rep.-D-FL-21];Clyburn, James E. [Rep.-D-SC-6];Lieu, Ted [Rep.-D-CA-33];Torres, Ritchie [Rep.-D-NY-15];Torres, Norma J. [Rep.-D-CA-35];Krishnamoorthi, Raja [Rep.-D-IL-8];Lee, Barbara [Rep.-D-CA-13];Stansbury, Melanie Ann [Rep.-D-NM-1];Kelly, Robin L. [Rep.-D-IL-2];Casten, Sean [Rep.-D-IL-6];Matsui, Doris O. [Rep.-D-CA-6];Spanberger, Abigail Davis [Rep.-D-VA-7];Espaillat, Adriano [Rep.-D-NY-13];Grijalva, Raúl M. [Rep.-D-AZ-3];Bera, Ami [Rep.-D-CA-7];Schrier, Kim [Rep.-D-WA-8];Pingree, Chellie [Rep.-D-ME-1];Titus, Dina [Rep.-D-NV-1];Hoyer, Steny H. [Rep.-D-MD-5];Thompson, Bennie G. [Rep.-D-MS-2];Lofgren, Zoe [Rep.-D-CA-19];Thompson, Mike [Rep.-D-CA-5];Cohen, Steve [Rep.-D-TN-9];Sherrill, Mikie [Rep.-D-NJ-11];DelBene, Suzan K. [Rep.-D-WA-1];Morelle, Joseph D. [Rep.-D-NY-25];Costa, Jim [Rep.-D-CA-16];Jeffries, Hakeem S. [Rep.-D-NY-8];Omar, Ilhan [Rep.-D-MN-5];DeLauro, Rosa L. [Rep.-D-CT-3];Jones, Mondaire [Rep.-D-NY-17];Maloney, Sean Patrick [Rep.-D-NY-18];Mfume, Kweisi [Rep.-D-MD-7];Rush, Bobby L. [Rep.-D-IL-1];Velazquez, Nydia M. [Rep.-D-NY-7];Welch, Peter [Rep.-D-VT-At Large];Tlaib, Rashida [Rep.-D-MI-13];Phillips, Dean [Rep.-D-MN-3];Deutch, Theodore E. [Rep.-D-FL-22];Harder, Josh [Rep.-D-CA-10];Connolly, Gerald E. [Rep.-D-VA-11];Brownley, Julia [Rep.-D-CA-26];Davis, Danny K. [Rep.-D-IL-7];Kuster, Ann M. [Rep.-D-NH-2];Ross, Deborah K. [Rep.-D-NC-2];Schiff, Adam B. [Rep.-D-CA-28];Larson, John B. [Rep.-D-CT-1];Stevens, Haley M. [Rep.-D-MI-11];Dean, Madeleine [Rep.-D-PA-4];Carbajal, Salud O. [Rep.-D-CA-24];Wexton, Jennifer [Rep.-D-VA-10];Trahan, Lori [Rep.-D-MA-3];Bustos, Cheri [Rep.-D-IL-17];Luria, Elaine G. [Rep.-D-VA-2];Blunt Rochester, Lisa [Rep.-D-DE-At Large];Moore, Gwen [Rep.-D-WI-4];Escobar, Veronica [Rep.-D-TX-16];Moulton, Seth [Rep.-D-MA-6];Ruppersberger, C. A. Dutch [Rep.-D-MD-2];Vargas, Juan [Rep.-D-CA-51];Bush, Cori [Rep.-D-MO-1];DeSaulnier, Mark [Rep.-D-CA-11];Strickland, Marilyn [Rep.-D-WA-10];Sarbanes, John P. [Rep.-D-MD-3];Tonko, Paul [Rep.-D-NY-20];Kim, Young [Rep.-R-CA-39];Garcia, Jesus G. ""Chuy"" [Rep.-D-IL-4];Norton, Eleanor Holmes [Del.-D-DC-At Large];Sablan, Gregorio Kilili Camacho [Del.-D-MP-At Large];Trone, David J. [Rep.-D-MD-6];Pappas, Chris [Rep.-D-NH-1];Brown, Shontel M. [Rep.-D-OH-11];Cicilline, David N. [Rep.-D-RI-1];Pallone, Frank, Jr. [Rep.-D-NJ-6];Kilmer, Derek [Rep.-D-WA-6];Craig, Angie [Rep.-D-MN-2];Norcross, Donald [Rep.-D-NJ-1];Jackson Lee, Sheila [Rep.-D-TX-18];Himes, James A. [Rep.-D-CT-4];Sánchez, Linda T. [Rep.-D-CA-38];Sherman, Brad [Rep.-D-CA-30];McEachin, A. Donald [Rep.-D-VA-4];Clarke, Yvette D. [Rep.-D-NY-9];Bonamici, Suzanne [Rep.-D-OR-1];Green, Al [Rep.-D-TX-9];McBath, Lucy [Rep.-D-GA-6];Axne, Cynthia [Rep.-D-IA-3];Fletcher, Lizzie [Rep.-D-TX-7];Aguilar, Pete [Rep.-D-CA-31];Cherfilus-McCormick, Sheila [Rep.-D-FL-20];Soto, Darren [Rep.-D-FL-9]","Agriculture and Food;Emergency medical services and trauma care;Food assistance and relief;Women's health;Disaster relief and insurance;Child health;Food supply, safety, and labeling;Infectious and parasitic diseases;State and local government operations;Retail and wholesale trades;Public contracts and procurement;Poverty and welfare assistance;Nutrition and diet;Manufacturing",," <p><strong>Access to Baby Formula Act of 2022</strong></p> <p>This bill authorizes the Department of Agriculture (USDA) to take certain actions to address emergencies, disasters, and supply chain disruptions (particularly the shortage of infant formula in the United States) affecting participants of the Special Supplemental Nutrition Program for Women, Infants, and Children (WIC).</p> <p>The bill directs USDA to require each infant formula cost containment contract to include remedies in the event of an infant formula recall, including how an infant formula manufacturer would protect against disruption to WIC participants in the state.</p> <p>USDA must, within 30 days, ensure there is a memorandum of understanding with the Department of Health and Human Services that includes procedures for coordination and information sharing regarding any supply chain disruption, including a supplemental food recall.</p> <p>The bill also authorizes USDA to waive or modify any WIC qualified administrative requirement during emergencies, disasters, and supply chain disruptions. Specifically, USDA may waive or modify such a requirement for one or more state agencies if (1) the requirement cannot be met by state agencies during the emergency, disaster, or disruption; and (2) the modification or waiver is necessary to provide assistance to WIC participants and does not substantially weaken the nutritional quality of supplemental foods. For example, USDA may waive the maximum monthly allowance for infant formula.</p> <p>The bill establishes notification requirements for USDA and state agencies related to supply chain disruptions.</p>"
H.R. 7698,https://www.congress.gov/bill/117th-congress/house-bill/7698,117th Congress (2021-2022),"To designate the outpatient clinic of the Department of Veterans Affairs in Ventura, California, as the ""Captain Rosemary Bryant Mariner Outpatient Clinic"".","Brownley, Julia [Rep.-D-CA-26]",05/10/2022,52,House - Veterans' Affairs,Became Public Law No: 117-199.,10/11/2022,"DeSaulnier, Mark [Rep.-D-CA-11];Gomez, Jimmy [Rep.-D-CA-34];Cárdenas, Tony [Rep.-D-CA-29];Obernolte, Jay [Rep.-R-CA-8];Waters, Maxine [Rep.-D-CA-43];Issa, Darrell E. [Rep.-R-CA-50];Calvert, Ken [Rep.-R-CA-42];McCarthy, Kevin [Rep.-R-CA-23];Pelosi, Nancy [Rep.-D-CA-12];Bass, Karen [Rep.-D-CA-37];Napolitano, Grace F. [Rep.-D-CA-32];Roybal-Allard, Lucille [Rep.-D-CA-40];Costa, Jim [Rep.-D-CA-16];Steel, Michelle [Rep.-R-CA-48];Peters, Scott H. [Rep.-D-CA-52];McNerney, Jerry [Rep.-D-CA-9];Lofgren, Zoe [Rep.-D-CA-19];Sherman, Brad [Rep.-D-CA-30];LaMalfa, Doug [Rep.-R-CA-1];Speier, Jackie [Rep.-D-CA-14];Levin, Mike [Rep.-D-CA-49];Jacobs, Sara [Rep.-D-CA-53];Porter, Katie [Rep.-D-CA-45];Carbajal, Salud O. [Rep.-D-CA-24];Lee, Barbara [Rep.-D-CA-13];Eshoo, Anna G. [Rep.-D-CA-18];Harder, Josh [Rep.-D-CA-10];Schiff, Adam B. [Rep.-D-CA-28];Chu, Judy [Rep.-D-CA-27];Huffman, Jared [Rep.-D-CA-2];Correa, J. Luis [Rep.-D-CA-46];Vargas, Juan [Rep.-D-CA-51];McClintock, Tom [Rep.-R-CA-4];Sánchez, Linda T. [Rep.-D-CA-38];Barragan, Nanette Diaz [Rep.-D-CA-44];Swalwell, Eric [Rep.-D-CA-15];Torres, Norma J. [Rep.-D-CA-35];Lowenthal, Alan S. [Rep.-D-CA-47];Bera, Ami [Rep.-D-CA-7];Khanna, Ro [Rep.-D-CA-17];Thompson, Mike [Rep.-D-CA-5];Bera, Ami [Rep.-D-CA-7];Khanna, Ro [Rep.-D-CA-17];Thompson, Mike [Rep.-D-CA-5];Garamendi, John [Rep.-D-CA-3];Panetta, Jimmy [Rep.-D-CA-20];Ruiz, Raul [Rep.-D-CA-36];Aguilar, Pete [Rep.-D-CA-31];Lieu, Ted [Rep.-D-CA-33];Garcia, Mike [Rep.-R-CA-25];Matsui, Doris O. [Rep.-D-CA-6];Takano, Mark [Rep.-D-CA-41];Valadao, David G. [Rep.-R-CA-21];Kim, Young [Rep.-R-CA-39];Conway, Connie [Rep.-R-CA-22]","Armed Forces and National Security;Home and outpatient care;Veterans' medical care;Health facilities and institutions;California;Congressional tributes;Department of Veterans Affairs;Government buildings, facilities, and property",," <p>This act designates the outpatient clinic of the Department of Veterans Affairs in Ventura, California, as the Captain Rosemary Bryant Mariner Outpatient Clinic.</p>"
H.R. 7691,https://www.congress.gov/bill/117th-congress/house-bill/7691,117th Congress (2021-2022),"Additional Ukraine Supplemental Appropriations Act, 2022","DeLauro, Rosa L. [Rep.-D-CT-3]",05/10/2022,0,"House - Appropriations, Budget",Became Public Law No: 117-128.,05/21/2022,,"International Affairs;Alaska;War crimes, genocide, crimes against humanity;Arms control and nonproliferation;Centers for Disease Control and Prevention (CDC);Conflicts and wars;Congressional oversight;Defense spending;Department of Defense;Department of Health and Human Services;Department of Justice;Department of State;Diplomacy, foreign officials, Americans abroad;Disaster relief and insurance;Drug trafficking and controlled substances;Europe;Evidence and witnesses;Executive agency funding and structure;Food assistance and relief;Foreign aid and international relief;Foreign property;Government studies and investigations;Health programs administration and funding;Health promotion and preventive care;House of Representatives;Human trafficking;Immigration status and procedures;Intelligence activities, surveillance, classified information;International organizations and cooperation;Medical tests and diagnostic methods;Members of Congress;Military assistance, sales, and agreements;Military medicine;Military operations and strategy;Military personnel and dependents;Military procurement, research, weapons development;Multilateral development programs;Nuclear power;Nuclear Regulatory Commission (NRC);Public contracts and procurement;Refugees, asylum, displaced persons;Russia;Sanctions;Smuggling and trafficking;Sovereignty, recognition, national governance and status;Terrorism;U.S. Agency for International Development (USAID);Ukraine;Appropriations",H.Res.1097," <p><strong>Additional Ukraine Supplemental Appropriations Act, 2022</strong></p> <p>This bill provides $40.1 billion in FY2022 emergency supplemental appropriations for activities to respond to Russia's invasion of Ukraine. </p> <p>The bill provides appropriations to several federal departments and agencies, including </p> <ul> <li>the Department of Justice,</li> <li>the Department of Defense,</li> <li>the Nuclear Regulatory Commission,</li> <li>the Department of Health and Human Services, </li> <li>the Department of State,</li> <li>the U.S. Agency for International Development,</li> <li>the Department of Agriculture, and </li> <li>the Department of the Treasury.</li> </ul> <p>Among other things, the bill provides appropriations for defense equipment, migration and refugee assistance, regulatory and technical support regarding nuclear power issues, emergency food assistance, economic assistance, and seizures of property related to the invasion. </p>"
H.R. 7500,https://www.congress.gov/bill/117th-congress/house-bill/7500,117th Congress (2021-2022),Fiscal Year 2022 Veterans Affairs Major Medical Facility Authorization Act,"Allred, Colin Z. [Rep.-D-TX-32]",04/14/2022,3,House - Veterans' Affairs,Became Public Law No: 117-190.,10/10/2022,"Escobar, Veronica [Rep.-D-TX-16];Ellzey, Jake [Rep.-R-TX-6];Levin, Mike [Rep.-D-CA-49]","Armed Forces and National Security;Neurological disorders;Missouri;Surgery and anesthesia;Kentucky;New York State;California;Home and outpatient care;Mississippi;Oklahoma;Building construction;Government buildings, facilities, and property;Mental health;Veterans' medical care;Health facilities and institutions;Medical research;Department of Veterans Affairs;Texas;Oregon",S.2624, <p><b>Fiscal Year 2022 Veterans Affairs Major Medical Facility Authorization Act</b></p> <p>This act authorizes the Department of Veterans Affairs to carry out specified major medical facility projects during FY2022. The act also indicates the maximum amount that can be spent on each project.</p>
H.R. 7352,https://www.congress.gov/bill/117th-congress/house-bill/7352,117th Congress (2021-2022),PPP and Bank Fraud Enforcement Harmonization Act of 2022,"Velazquez, Nydia M. [Rep.-D-NY-7]",03/31/2022,4,House - Small Business | Senate - Small Business and Entrepreneurship,Became Public Law No: 117-166.,08/05/2022,"Luetkemeyer, Blaine [Rep.-R-MO-3];Mfume, Kweisi [Rep.-D-MD-7];Davids, Sharice [Rep.-D-KS-3];Van Duyne, Beth [Rep.-R-TX-24]",Commerce;Government lending and loan guarantees;Wages and earnings;Small business;Business expenses;Civil actions and liability;Fraud offenses and financial crimes,, <p><strong>PPP and Bank Fraud Enforcement Harmonization Act of 2022</strong></p> <p>This bill establishes a 10-year statute of limitations for criminal charges and civil enforcement against a borrower who engages in fraud with respect to a Paycheck Protection Program loan.</p>
H.R. 7334,https://www.congress.gov/bill/117th-congress/house-bill/7334,117th Congress (2021-2022),COVID-19 EIDL Fraud Statute of Limitations Act of 2022,"Luetkemeyer, Blaine [Rep.-R-MO-3]",03/31/2022,3,House - Small Business | Senate - Small Business and Entrepreneurship,Became Public Law No: 117-165.,08/05/2022,"Velazquez, Nydia M. [Rep.-D-NY-7];Davids, Sharice [Rep.-D-KS-3];Van Duyne, Beth [Rep.-R-TX-24]","Infectious and parasitic diseases;Small business;Government lending and loan guarantees;Commerce;Business investment and capital;Cardiovascular and respiratory health;Civil actions and liability;Criminal investigation, prosecution, interrogation;Emergency medical services and trauma care;Fraud offenses and financial crimes",, <p><strong>COVID-19 EIDL Fraud Statute of Limitations Act of 2022</strong></p> <p>This bill establishes a 10-year statute of limitations for criminal charges and civil enforcement against a borrower who engages in fraud with respect to certain COVID-19 economic injury disaster loan programs.</p>
